 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
22,614297_dorsal_d3,0.068750526,0.015417127,35532,0.002888417,2.000000000,0.232353895,0.012431113,0.000731242,0.000788382,0.062298797,0.012151996,0.070280158,0.017032042,0.085603103,0.020233391,0.098732486,0.011417772,0.068750526,0.015417127
23,614297_side_w1,0.436748006,0.111820604,62704,0.024035694,63.999999831,0.125221191,0.191945901,0.011290935,0.006765901,0.445330786,0.118961781,0.438859981,0.113994815,0.380019930,0.084335858,0.452863310,0.093902187,0.436748006,0.111820604
24,614297_side_o1,0.074803169,0.027343175,16139,0.008681159,31.999999932,0.099078161,0.087619299,0.005154076,0.001802319,0.072126458,0.028680708,0.075788541,0.027912361,0.086883390,0.023379040,0.095768686,0.020101011,0.074803169,0.027343175
25,614297_ventral_b1,0.473082165,0.055446935,33489,0.007899215,63.999999831,0.120050774,0.065798949,0.003870526,0.002138342,0.489973592,0.060643309,0.472833392,0.057288853,0.405631301,0.045173717,0.469760529,0.050521089,0.473082165,0.055446935
26,614297_ventral_b2,0.514876949,0.026068302,33856,0.003643995,45.254833888,0.096373945,0.037811000,0.002224176,0.000949974,0.528698334,0.030217110,0.512828804,0.030991592,0.444480302,0.030143489,0.546802195,0.039683816,0.514876949,0.026068302
27,614297_ventral_b3,0.366158437,0.039000800,37249,0.005231035,63.999999831,0.092506808,0.056547563,0.003326327,0.001545835,0.370260207,0.040667018,0.366119828,0.041225731,0.334811406,0.037459999,0.397660860,0.035175758,0.366158437,0.039000800
28,614297_ventral_t1,0.055449368,0.014747485,257462,0.008962761,127.999999595,0.131608154,0.068101865,0.004005992,0.002850597,0.051764571,0.018323942,0.056816705,0.015680533,0.068505061,0.012537637,0.065664533,0.012130482,0.055449368,0.014747485
29,614299_crown_c1,0.063276988,0.027282836,96853,0.003473635,15.999999975,0.096055076,0.036162949,0.002127232,0.001008357,0.050805200,0.022641924,0.067027154,0.028923073,0.081094131,0.033518201,0.140241869,0.056053925,0.063276988,0.027282836
30,614302_crown_c1,0.071010477,0.022410965,115078,0.003540806,22.627416956,0.075348665,0.046992289,0.002764252,0.000884890,0.055564565,0.017719422,0.074978385,0.023600856,0.092045380,0.030360595,0.149287123,0.045160513,0.071010477,0.022410965
31,614302_dorsal_d1,0.077475335,0.010610046,32761,0.001843356,2.000000000,0.153818702,0.011983954,0.000704938,0.000547148,0.070307817,0.008632392,0.079511363,0.011624970,0.093066961,0.014619564,0.108870752,0.011165378,0.077475335,0.010610046
32,614302_dorsal_d2,0.082552095,0.009815174,34410,0.001564258,2.000000000,0.134634982,0.011618509,0.000683442,0.000511360,0.075000738,0.008183125,0.084592289,0.010819837,0.098660382,0.013947997,0.114008306,0.012076693,0.082552095,0.009815174
33,614302_dorsal_d3,0.082178694,0.009932775,34969,0.001607714,2.000000000,0.119797113,0.013420306,0.000789430,0.000449153,0.076245701,0.008847428,0.084004414,0.010809783,0.096231647,0.013881690,0.116768700,0.012127131,0.082178694,0.009932775
34,614302_side_w1,0.351521853,0.085913315,25968,0.017010129,45.254833888,0.114864386,0.148088802,0.008711106,0.005268140,0.356530167,0.086973031,0.353585820,0.087181668,0.315356353,0.075136803,0.386350928,0.077861252,0.351521853,0.085913315
35,614302_side_o1,0.104980524,0.021815959,17900,0.008497110,31.999999932,0.105208989,0.080764108,0.004750830,0.002197971,0.111209617,0.025658758,0.106275371,0.022677997,0.099612746,0.015675988,0.117312770,0.021030204,0.104980524,0.021815959
36,614302_ventral_b1,0.454681905,0.044828137,35344,0.005561004,31.999999932,0.098146531,0.056660220,0.003332954,0.001427450,0.477405861,0.046031535,0.459474658,0.045936441,0.370460400,0.045270618,0.423875846,0.065332828,0.454681905,0.044828137
37,614302_ventral_b2,0.370027465,0.045083852,34595,0.006082861,22.627416956,0.098191447,0.061948986,0.003644058,0.001838248,0.383384391,0.050573030,0.372772957,0.048139710,0.315855092,0.035733951,0.403023034,0.039765920,0.370027465,0.045083852
38,614302_ventral_b3,0.274631134,0.058215302,34410,0.006087458,63.999999831,0.079153041,0.076907441,0.004523967,0.001251733,0.274619983,0.061431032,0.276018492,0.059609965,0.256824845,0.048438222,0.346353277,0.050602717,0.274631134,0.058215302
39,614302_ventral_t1,0.055753339,0.013421694,173716,0.008047540,127.999999595,0.122017147,0.065954174,0.003879657,0.002626369,0.052020901,0.016686799,0.057138108,0.014202897,0.068957934,0.011802572,0.067792693,0.011737683,0.055753339,0.013421694
40,614305_crown_c1,0.070606993,0.018781260,72809,0.002586384,11.313708484,0.082482278,0.031356849,0.001844521,0.000723278,0.056506665,0.014637930,0.074246981,0.018837331,0.091491271,0.027022696,0.166512357,0.043093097,0.070606993,0.018781260
41,614307_crown_c1,0.061007766,0.017784851,92690,0.002357404,31.999999932,0.083956983,0.028078707,0.001651689,0.000598480,0.049191618,0.014502986,0.063887478,0.017669187,0.080546928,0.024509833,0.131485724,0.043730356,0.061007766,0.017784851
42,614289_crown_c1,0.084560897,0.026098125,87681,0.004678222,45.254833888,0.092357463,0.050653429,0.002979613,0.000960379,0.070448905,0.026323157,0.088414510,0.026527433,0.103122176,0.027462230,0.166542054,0.066715681,0.084560897,0.026098125
43,614289_dorsal_d1,0.085397186,0.022058034,34969,0.004090732,2.000000000,0.226571653,0.018054914,0.001062054,0.001119820,0.078941126,0.017096095,0.087030210,0.024304331,0.100637771,0.026417531,0.121092252,0.014506706,0.085397186,0.022058034
44,614289_dorsal_d2,0.086883598,0.020985795,34969,0.003408446,2.000000000,0.182566320,0.018669630,0.001098214,0.000962744,0.080477022,0.016698654,0.088753814,0.023689711,0.101351636,0.023980976,0.117403655,0.015940675,0.086883598,0.020985795
45,614289_dorsal_d3,0.089540122,0.023423604,34225,0.004172842,2.000000000,0.208952505,0.019970288,0.001174723,0.001103836,0.083869946,0.018704924,0.091355243,0.026147039,0.102816238,0.026178304,0.121723092,0.014631872,0.089540122,0.023423604
46,614289_side_w1,0.261245921,0.093411620,30579,0.015590240,15.999999975,0.113170536,0.137758827,0.008103460,0.005324767,0.264778126,0.094777118,0.264642628,0.095115274,0.237837563,0.079174110,0.276932686,0.085844996,0.261245921,0.093411620
47,614289_side_o1,0.089084107,0.010860631,38261,0.004299820,22.627416956,0.086651869,0.049621781,0.002918928,0.001146219,0.089955604,0.012211993,0.090641435,0.012058256,0.092720444,0.012254478,0.108884212,0.012158842,0.089084107,0.010860631
48,614289_ventral_Scale Bar:376.0053:10,0.195496332,0.032215611,371,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
49,614293_crown_c1,0.073217220,0.027030812,84775,0.003818278,15.999999975,0.073517881,0.051936727,0.003055102,0.000795958,0.058975028,0.022343863,0.076785285,0.029687840,0.093280887,0.033047670,0.149871437,0.044200686,0.073217220,0.027030812
50,614293_dorsal_d1,0.067877616,0.013197588,36864,0.002000041,2.000000000,0.144282388,0.013861991,0.000815411,0.000585984,0.061703238,0.011013440,0.069531186,0.014619088,0.083946350,0.016001536,0.096673115,0.012117882,0.067877616,0.013197588
51,614293_dorsal_d2,0.071170614,0.014780381,35721,0.002504516,2.000000000,0.200009009,0.012522014,0.000736589,0.000639677,0.064221753,0.011107036,0.072871168,0.016663611,0.088244818,0.018231505,0.101955328,0.011307626,0.071170614,0.014780381
52,614293_dorsal_d3,0.071529679,0.014551338,33856,0.002624390,2.000000000,0.204467173,0.012835264,0.000755016,0.000691854,0.065650067,0.011510734,0.073160438,0.016350733,0.087053534,0.017245505,0.101106325,0.009446426,0.071529679,0.014551338
53,614293_side_w1,0.339756015,0.094932666,45766,0.015846297,31.999999932,0.100933353,0.156997624,0.009235154,0.004805397,0.344782113,0.098919830,0.340666325,0.096564172,0.307016057,0.076293092,0.383909494,0.099565177,0.339756015,0.094932666
54,614293_side_o1,0.097441458,0.026215904,17056,0.007558611,22.627416956,0.111122145,0.068020749,0.004001221,0.002018024,0.098952013,0.029484811,0.098704898,0.027578012,0.100286850,0.019448491,0.120133059,0.027610176,0.097441458,0.026215904
55,614293_ventral_b1,0.515503434,0.028950180,34225,0.003363988,45.254833888,0.087437134,0.038473219,0.002263131,0.000908867,0.541114380,0.029086672,0.521820299,0.033251016,0.412541432,0.035786442,0.444812549,0.057477897,0.515503434,0.028950180
56,614293_ventral_b2,0.454001726,0.070733236,34225,0.012202022,31.999999932,0.132804744,0.091879411,0.005404671,0.003375586,0.458423248,0.074454741,0.453337017,0.071748476,0.401350343,0.059317755,0.525932507,0.070728976,0.454001726,0.070733236
57,614293_ventral_b3,0.247989245,0.039342546,36100,0.004330958,63.999999831,0.083109402,0.052111532,0.003065384,0.000965246,0.250405230,0.039836519,0.251701327,0.042046009,0.227243257,0.035877143,0.249669871,0.032943936,0.247989245,0.039342546
58,614293_ventral_t1,0.046309869,0.005990031,223462,0.007110444,127.999999595,0.134027746,0.053052031,0.003120708,0.002455712,0.040921705,0.006967261,0.047771395,0.007586835,0.062719547,0.010465101,0.059013995,0.006859563,0.046309869,0.005990031
59,614294_crown_c1,0.065972113,0.027218841,115121,0.003039734,2.000000000,0.095624594,0.031788206,0.001869894,0.000796100,0.051406366,0.024185536,0.069784183,0.029177321,0.086658303,0.029056802,0.160022648,0.054663798,0.065972113,0.027218841
60,614297_crown_c1,0.077200902,0.028139656,94617,0.003541967,63.999999831,0.082546788,0.042908598,0.002524035,0.000732853,0.061585008,0.025628291,0.080912113,0.029826414,0.099003094,0.029960842,0.164215699,0.055229450,0.077200902,0.028139656
